ImmunizeMe - All Pts: Patient ID,ImmunizeMe - vaccines: Patient ID,Age in years,Date of birth,First name,NHS number,Sex,Surname,Deduction date,Registration date,ImmunizeMe - vaccines: Vaccination type,Preferred telephone number,ImmunizeMe - vaccines: Event date,ImmunizeMe - vaccines: Event done at ID,Patient Count
567215,567215,43,20-Aug-1981,Firstname,1234567891,Male,Surname,,20-Sep-2018,ViATIM 1,12345678,29-Nov-2005,B83052,1
2663484,2663484,42,08-Feb-1982,Firstname,1234567892,Male,Surname,,11-Apr-2012,Typhoid 1,12345678,10-Jan-2014,E87750,1
2723897,2723897,27,15-Jun-1997,Firstname,1234567893,Female,Surname,,26-Apr-2021,Revaxis 3,12345678,15-Dec-2023,E87750,1
2723897,2723897,27,15-Jun-1997,Firstname,1234567894,Female,Surname,,26-Apr-2021,Human Papillomavirus 2,12345678,24-Jan-2011,,1
2466415,2466415,23,22-Sep-2000,Firstname,1234567895,Male,Surname,,14-Oct-2022,Revaxis 2nd Scheduled Booster,12345678,14-Dec-2015,C83078,1
1545002,1545002,32,07-Apr-1992,Firstname,1234567896,Female,Surname,,13-Jun-2014,Measles/Mumps/Rubella 1st Scheduled Booster,12345678,13-Nov-1996,E82015,1
1545002,1545002,32,07-Apr-1992,Firstname,1234567897,Female,Surname,,13-Jun-2014,Pandemrix 1,12345678,03-Dec-2009,E87750,1
2014407,2014407,35,28-Feb-1989,Firstname,1234567898,Male,Surname,,08-Mar-2016,Measles/Mumps/Rubella 1,12345678,13-Nov-1990,,1
1936118,1936118,63,05-Aug-1961,Firstname,1234567899,Female,Surname,,31-Dec-2010,Influenza Vaccine 1,12345678,08-Nov-2004,C87622,1
1936118,1936118,63,05-Aug-1961,Firstname,1234567900,Female,Surname,,31-Dec-2010,Influenza Vaccine 1,12345678,04-Nov-2010,E87750,1
3721844,3721844,28,05-Jul-1996,Firstname,1234567901,Female,Surname,,07-Jun-2010,Cervarix 2,12345678,06-Mar-2009,3.86E+11,1
3975567,3975567,29,09-Aug-1995,Firstname,1234567902,Female,Surname,,08-Aug-2023,Measles/Mumps/Rubella 1,12345678,08-Oct-1996,,1
3975567,3975567,29,09-Aug-1995,Firstname,1234567903,Female,Surname,,08-Aug-2023,Measles/Mumps/Rubella 1st Scheduled Booster,12345678,13-Apr-1999,,1
10736951,10736951,17,19-Oct-2006,Firstname,1234567904,Male,Surname,,25-Mar-2024,Measles/Mumps/Rubella 1,12345678,15-Nov-2007,,1
10736951,10736951,17,19-Oct-2006,Firstname,1234567905,Male,Surname,,25-Mar-2024,Pneumococcal polysaccharide conjugated vaccine (PCV) 1,12345678,08-Jan-2007,,1
10736951,10736951,17,19-Oct-2006,Firstname,1234567906,Male,Surname,,25-Mar-2024,HIB + Meningitis C 1st Scheduled Booster,12345678,15-Nov-2007,,1
10032637,10032637,24,07-Sep-1999,Firstname,1234567907,Female,Surname,,03-Mar-2023,DTaP/IPV 1st Scheduled Booster,12345678,21-Jun-2004,,1
10032637,10032637,24,07-Sep-1999,Firstname,1234567908,Female,Surname,,03-Mar-2023,Gardasil 2,12345678,06-Nov-2012,4.93E+11,1
11723603,11723603,22,21-Apr-2002,Firstname,1234567909,Female,Surname,,02-Aug-2024,Measles/Mumps/Rubella 1,12345678,21-May-2003,,1
11723603,11723603,22,21-Apr-2002,Firstname,1234567910,Female,Surname,,02-Aug-2024,Rabies Vaccine 1,12345678,19-Apr-2017,,1
11723603,11723603,22,21-Apr-2002,Firstname,1234567911,Female,Surname,,02-Aug-2024,Hepatitis A 1,12345678,28-Apr-2017,,1
11723603,11723603,22,21-Apr-2002,Firstname,1234567912,Female,Surname,,02-Aug-2024,Gardasil 1,12345678,08-Jun-2015,110924,1
11620049,11620049,34,23-May-1990,Firstname,1234567913,Male,Surname,,07-Nov-2016,Influenza Vaccine 1,12345678,12-Oct-2004,B82609,1
6961907,6961907,56,14-Apr-1968,Firstname,1234567914,Female,Surname,,18-Jan-2016,BCG 1,12345678,01-Jan-1981,E87750,1
8068566,8068566,28,13-Sep-1995,Firstname,1234567915,Female,Surname,,19-May-2023,Nimenrix 1,12345678,13-Oct-2017,F81068,1
8068566,8068566,28,13-Sep-1995,Firstname,1234567916,Female,Surname,,19-May-2023,Revaxis Booster,12345678,05-Jun-2015,F81068,1
